id,Ranking,Song Name,Artist,Featuring,Album,Release Date,popularity
5HCyWlXZPP0y6Gqq8TgA20,1,STAY (with Justin Bieber),The Kid LAROI,Justin Bieber,STAY (with Justin Bieber),2021/07/09,86
6SkHm6poyKfzV6kc9any8k,2,Suncity (feat. Empress Of),Khalid,Empress Of,Suncity,2018/10/19,60
4iJyoBOLtHqaGxP12qzhQI,3,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,"Daniel Caesar,Giveon",Justice,2021/03/19,84
4CHDcWhqTsz53Ur9zmvHs8,4,Empty Bed,Saint Punk,,Empty Bed,2021/01/21,55
237UcckRVSojOhj7jOD5nq,5,Only Solutions,Infected Mushroom,,More than Just a Name,2020/03/23,38
7MXVkk9YMctZqd1Srtv4MB,6,Starboy,The Weeknd,Daft Punk,Starboy,2016/11/25,92
0JP9xo3adEtGSdUEISiszL,7,Moonlight,XXXTENTACION,,?,2018/03/16,84
5cEqfElQEKHTsZsoMaYRWB,8,I Love,Joyner Lucas,,ADHD,2020/03/27,49
3DXncPQOG4VBw3QHh3S817,9,"Im the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,"Justin Bieber,Quavo,Chance the Rapper,Lil Wayne",Grateful,2017/06/22,73
2pmYug1wWd0WoK5tpbsbKL,10,Dead People,21 Savage,,Issa Album,2017/07/06,56
7CrV84rfYP3wS4l5NQc4uL,11,Phantasy Star Online,Deko,Yameii,Iridescent,2019/07/09,54
0e7ipj03S05BNilyu5bRzt,12,rockstar (feat. 21 Savage),Post Malone,21 Savage,beerbongs & bentleys,2018/04/27,86
3MEYFivt6bilQ9q9mFWZ4g,13,Alone,Marshmello,,Alone,2016/05/13,73
3Vr6lUX3ni1Z6OLvn3YkU6,14,Dreamland,Fox Stevenson,,Killjoy,2019/10/18,55
0pMUR7Uvp6vxlbG0qBFvgM,15,Better Off Alone,Alice Deejay,,Who Needs Guitars Anyway?,2000/01/01,4
152unnv8fuahIUyVnHJutJ,16,KILLING MY LOVE,Leslie Parrish,,SUPER EUROBEAT presents INITIAL D 〜D SELECTION 2〜,1998/10/28,61
7eIHyaqwKZxbL5MmBDvGeh,17,Contradiction,Polygon,,Duality EP,2019/11/29,33
2hfoyc7ve6xM4ZEiNIiU1B,18,Gimme Love,Joji,,Gimme Love,2020/04/16,62
2QfiRTz5Yc8DdShCxG1tB2,19,Johnny B. Goode,Chuck Berry,,Berry Is On Top,1959/07/01,79
2CdTLdDjwZdVcm0bresVWx,20,Otra Noche Sin Ti,J Balvin,Khalid,Otra Noche Sin Ti,2021/04/09,63
79XrkTOfV1AqySNjVlygpW,21,Energy,Drake,,If Youre Reading This Its Too Late,2015/02/12,75
56nLHj9HJr3xpbLarnr0l4,22,Mtc,S3RL,,Mtc,2012/02/15,58
0t1kP63rueHleOhQkYSXFY,23,Dynamite,BTS,,Dynamite (DayTime Version),2020/08/28,5
5uxYTDNKEOxcrlWyuMNjaM,24,DotA - Radio Edit,Basshunter,,Now Youre Gone - The Album,2008/01/15,60
3DK6m7It6Pw857FcQftMds,25,Runaway,Kanye West,Pusha T,My Beautiful Dark Twisted Fantasy,2010/11/22,80
7MmG8p0F9N3C4AXdK6o6Eb,26,Outside (feat. Ellie Goulding),Calvin Harris,Ellie Goulding,Motion,2014/10/31,83
6qBFSepqLCuh5tehehc1bd,27,Like I Want You,Giveon,,TAKE TIME,2020/03/27,77
6g0TAJ1grweRwBMLQyiZFb,28,Famous,21 Savage,,Issa Album,2017/09/23,0
2iUXsYOEPhVqEBwsqP70rE,29,Youngblood,5 Seconds of Summer,,Youngblood (Deluxe),2018/06/15,83
7GX5flRQZVHRAGd6B4TmDO,30,XO Tour Llif3,Lil Uzi Vert,,Luv Is Rage 2,2017/08/25,83
