id,ranking,songName,artistName,featuring,album,date,popularity
3DK6m7It6Pw857FcQftMds,1,Runaway,Kanye West,Pusha T,My Beautiful Dark Twisted Fantasy,2010/11/22,80
06JvOZ39sK8D8SqiqfaxDU,2,True Love,Kanye West,XXXTENTACION,True Love,2022/05/27,78
4BHzHISX21PYwGXiBEUQ70,3,BBO (Bad Bitches Only),Migos,21 Savage,Culture II,2018/01/26,61
0Cy7wt6IlRfBPHXXjmZbcP,4,Love Me Like You Do,Ellie Goulding,,Fifty Shades Freed (Original Motion Picture Soundtrack),2018/02/09,75
3zU9rdflI65tK4dkkNSp77,5,Heroes (we could be),Alesso,Tove Lo,Forever,2015/05/26,75
2hfoyc7ve6xM4ZEiNIiU1B,6,Gimme Love,Joji,,Gimme Love,2020/04/16,62
6kWxIqQDsKFYCJGbU4AjCX,7,Hardest To Love,The Weeknd,,After Hours,2020/03/20,69
7FpABRyv5TaZz0llkhjPgc,8,色香水,Yoh kamiyama,,色香水,2021/02/07,58
1f5cbQtDrykjarZVrShaDI,9,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,Kodak Black,The Bigger Artist,2017/09/29,80
6CGMZijOAZvTXG21T8t6R0,10,Innerbloom,RÜFÜS DU SOL,,Bloom,2016/01/22,76
3JA9Jsuxr4xgHXEawAdCp4,11,Just Can’t Get Enough,Black Eyed Peas,,The Beginning,2010/01/01,79
6qn9YLKt13AGvpq9jfO8py,12,We Found Love,Rihanna,Calvin Harris,Talk That Talk,2011/11/18,85
7EZC6E7UjZe63f1jRmkWxt,13,Zombie,The Cranberries,,No Need To Argue (The Complete Sessions 1994-1995),1994/10/03,84
5BrTUo0xP1wKXLJWUaGFtk,14,Loyal (feat. Lil Wayne & Tyga),Chris Brown,"Lil Wayne,Tyga",X (Expanded Edition),2014/09/16,75
7aRCf5cLOFN1U7kvtChY1G,15,Search & Rescue,Drake,,Search & Rescue,2023/04/07,87
0VujRiDNNbRf1HIv5359K6,16,Water Resistant,Anamanaguchi,8485,"Rocket League: Sideswipe (Original Soundtrack), Vol. 1",2021/11/30,43
2SLwbpExuoBDZBpjfefCtV,17,Out of Time,The Weeknd,,Dawn FM,2022/01/06,81
0VjIjW4GlUZAMYd2vXMi3b,18,Blinding Lights,The Weeknd,,After Hours,2020/03/20,92
0azC730Exh71aQlOt9Zj3y,19,This Is What You Came For,Calvin Harris,Rihanna,This Is What You Came For,2016/04/29,85
5HCyWlXZPP0y6Gqq8TgA20,20,STAY (with Justin Bieber),The Kid LAROI,Justin Bieber,STAY (with Justin Bieber),2021/07/09,86
