id,ranking,songName,artistName,featuring,album,date,popularity
58KPPL1AdLHMvR2O2PZejr,1,Jesus of Suburbia,Green Day,,American Idiot,2004/09/21,68
4rXLjWdF2ZZpXCVTfWcshS,2,fukumean,Gunna,,a Gift & a Curse,2023/06/16,96
2QqUfCa7GbxQm6gB3K4hhi,3,See Tình - Cukak Remix,Hoàng Thùy Linh,Cukak,See Tình (Cukak Remix),2022/05/05,67
3s7MCdXyWmwjdcWh7GWXas,4,Violent Crimes,Kanye West,,ye,2018/06/01,83
5Z9KJZvQzH6PFmb8SNkxuk,5,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,Jack Harlow,MONTERO,2021/09/17,79
0IEVKWduAaMcZepZQVr80T,6,Likey,TWICE,,Twicetagram,2017/10/30,69
3DK6m7It6Pw857FcQftMds,7,Runaway,Kanye West,Pusha T,My Beautiful Dark Twisted Fantasy,2010/11/22,80
6CGMZijOAZvTXG21T8t6R0,8,Innerbloom,RÜFÜS DU SOL,,Bloom,2016/01/22,76
1NpW5kyvO4XrNJ3rnfcNy3,9,Wild Ones (feat. Sia),Flo Rida,Sia,Wild Ones,2012/06/22,80
0rTV5WefWd1J3OwIheTzxM,10,Talk,Khalid,Disclosure,Talk,2019/02/07,68
